Id,Start,Duration,Price
1,2015251,019,065622.00
2,2015009,095,065936.00
3,2015055,013,062458.00
4,2015099,205,059986.00
5,2015042,084,090540.00
6,2015055,138,043067.00
7,2015031,252,050935.00
8,2015017,180,032419.00
9,2015032,082,089481.00
10,2015124,233,040989.00
11,2015045,122,034781.00
12,2015264,071,068813.00
13,2015080,068,027517.00
14,2015219,054,094604.00
15,2015123,344,004838.00
16,2015308,225,080107.00
17,2015146,350,084740.00
18,2015257,303,081747.00
19,2015018,123,079428.00
20,2015121,088,005034.00
21,2015233,184,019267.00
22,2015053,097,026538.00
23,2015183,211,049936.00
24,2015268,253,033968.00
25,2015152,051,060029.00
26,2015251,19,65622.0
27,2015009,95,65936.0
28,2015055,13,62458.0
29,2015099,205,59986.0
30,2015042,84,90540.0
31,2015055,138,43067.0
32,2015031,252,50935.0
33,2015017,180,32419.0
34,2015032,82,89481.0
35,2015124,233,40989.0
36,2015045,122,34781.0
37,2015264,71,68813.0
38,2015080,68,27517.0
39,2015219,54,94604.0
40,2015123,344,4838.0
41,2015308,225,80107.0
42,2015146,350,84740.0
43,2015257,303,81747.0
44,2015018,123,79428.0
45,2015121,88,5034.0
46,2015233,184,19267.0
47,2015053,97,26538.0
48,2015183,211,49936.0
49,2015268,253,33968.0
50,2015152,51,60029.0
51,2014123,20,2345.3
52,2015251,19,65622.0
53,2015009,95,65936.0
54,2015055,13,62458.0
55,2015099,205,59986.0
56,2015042,84,90540.0
57,2015055,138,43067.0
58,2015031,252,50935.0
59,2015017,180,32419.0
60,2015032,82,89481.0
61,2015124,233,40989.0
62,2015045,122,34781.0
63,2015264,71,68813.0
64,2015080,68,27517.0
65,2015219,54,94604.0
66,2015123,344,4838.0
67,2015308,225,80107.0
68,2015146,350,84740.0
69,2015257,303,81747.0
70,2015018,123,79428.0
71,2015121,88,5034.0
72,2015233,184,19267.0
73,2015053,97,26538.0
74,2015183,211,49936.0
75,2015268,253,33968.0
76,2015152,51,60029.0
77,2015251,19,65622.0
78,2015009,95,65936.0
79,2015055,13,62458.0
80,2015099,205,59986.0
81,2015042,84,90540.0
82,2015055,138,43067.0
83,2015031,252,50935.0
84,2015017,180,32419.0
85,2015032,82,89481.0
86,2015124,233,40989.0
87,2015045,122,34781.0
88,2015264,71,68813.0
89,2015080,68,27517.0
90,2015219,54,94604.0
91,2015123,344,4838.0
92,2015308,225,80107.0
93,2015146,350,84740.0
94,2015257,303,81747.0
95,2015018,123,79428.0
96,2015121,88,5034.0
97,2015233,184,19267.0
98,2015053,97,26538.0
99,2015183,211,49936.0
100,2015268,253,33968.0
101,2015152,51,60029.0
102,2015251,19,65622.0
